_id,COD. INSCRIPCIÓN,NOMBRE,MODALIDAD,CATEGORIA,DIRECCIÓN,LOCALIDAD,MUNICIPIO,ZONA,PLAZAS,FECHA DE INSCRIPCION
102,UH000009            ,Don Carlos,Hotel,2 Estrellas,Dorraburu 0 S/N,HUARTE,HUARTE <> UHARTE                                                                                    ,Cuenca de Pamplona,47,1969-09-13T00:00:00
103,UHS00663            ,Don Javier,Hostal,HsG,Abajitabidea 5 ,ORORBIA,OLZA                                                                                                ,Cuenca de Pamplona,47,1996-03-07T00:00:00
104,UHSR0624            ,Donamariako Benta,Hostal,HsRural,Bentas 4 ,DONAMARIA,DONAMARIA                                                                                           ,Pirineos,10,1991-10-29T00:00:00
105,UH000605            ,Ducay,Hotel,2 Estrellas,Rua de Medios 1 ,OLITE,OLITE                                                                                               ,Zona Media,34,1990-03-21T00:00:00
106,UHSR0944            ,Edronekoa,Hostal,HsRural,Beriainbidea 2 ,UNANU,ERGOIENA                                                                                            ,Pirineos,10,2019-04-15T00:00:00
107,UH000687            ,Ekai,Hotel,3 Estrellas,de Aoiz 0 S/N,EKAI DE LÓNGUIDA,LÓNGUIDA <> LONGIDA                                                                                 ,Pirineos,36,1997-08-10T00:00:00
108,UHS00701            ,Ekaitza,Hostal,HsG,Berria 13 ,LESAKA,LESAKA                                                                                              ,Pirineos,12,1999-04-14T00:00:00
109,uhsr0615            ,El Almadiero,Hostal,HsRural,Padre Tomás de Burgui 1 ,BURGUI,BURGUI <> BURGI                                                                                     ,Pirineos,18,1991-05-06T00:00:00
110,UHSR0763            ,El Arriero,Hostal,HsRural,Muskilda 5 ,OLCOZ,BIURRUN-OLCOZ                                                                                       ,Zona Media,13,2003-10-09T00:00:00
111,UPE00885            ,El Camino Urban Rooms,Pensión,P*,San Gregorio 12 ,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,20,2012-12-06T00:00:00
112,UH000751            ,El Castillo,Hotel,1 Estrella,El Pinar 46 ,LARRAGA,LARRAGA                                                                                             ,Zona Media,27,2002-04-09T00:00:00
113,UPE00529            ,El Cerco,Pensión,P*,Mayor 3 ,ARTAJONA,ARTAJONA                                                                                            ,Zona Media,10,1980-04-15T00:00:00
114,UHR00872            ,El Cerco,Hotel rural,1 Estrella,Rodrigo Ximénez de Rada 36 ,PUENTE LA REINA,PUENTE LA REINA <> GARES                                                                            ,Zona Media,14,2011-04-05T00:00:00
115,UHS00333            ,El Corzo,Hostal,HsG,Pamplona-Zaragoza km 70 0 ,VILLAFRANCA,VILLAFRANCA                                                                                         ,La Ribera,21,1969-02-25T00:00:00
116,UH000848            ,El Juglar,Hotel,3 Estrellas,Rúa Romana 39 ,OLITE,OLITE                                                                                               ,Zona Media,16,2009-04-20T00:00:00
117,UPE00847            ,El Lechuguero,Pensión,P**,Obispo Soldevilla 2 ,CASCANTE,CASCANTE                                                                                            ,La Ribera,29,2009-04-20T00:00:00
118,UHS00388            ,El Mirador,Hostal,HsG,Pamplona-Zaragoza km. 24 0 ,BARÁSOAIN,BARÁSOAIN                                                                                           ,Zona Media,65,1970-03-07T00:00:00
119,UPE00752            ,El Peregrino,Pensión,P*,San Nicolás 50 ,LARRASOAÑA,ESTERIBAR                                                                                           ,Pirineos,9,2002-11-09T00:00:00
120,UPE00892            ,El Peregrino,Pensión,P**,Llano del Real 8 ,SANGÜESA,SANGÜESA <> ZANGOZA                                                                                 ,Zona Media,10,2012-12-31T00:00:00
121,UHS00832            ,El Polígono,Hostal,HsG,Santos Justo y Pastor 0 s/n,FUSTIÑANA,FUSTIÑANA                                                                                           ,La Ribera,11,2008-06-20T00:00:00
122,UPE00899            ,El Prado,Pensión,P*,Bordaldea 16 1º D,ORKOIEN,ORCOYEN                                                                                             ,Cuenca de Pamplona,9,2014-11-02T00:00:00
123,UHR00851            ,El Secreto de Ollo,Hotel rural,1 Estrella,Santo Tomás 8 ,OLLO,OLLO                                                                                                ,Cuenca de Pamplona,18,2009-11-25T00:00:00
124,UH000658            ,el Villa Castejon,Hotel,3 Estrellas,N-232 km. 83.400 0 ,CASTEJÓN,CASTEJÓN                                                                                            ,La Ribera,173,1996-03-27T00:00:00
125,UHS00733            ,El Volante,Hostal,HsG,Merkatondoa 2 1º,ESTELLA-LIZARRA,ESTELLA <> LIZARRA                                                                                  ,Zona Media,20,2001-03-10T00:00:00
126,UHS00406            ,Elizondo,Hostal,HsG,María Azpilikueta 10 ,ELIZONDO,BAZTAN                                                                                              ,"",52,1972-03-29T00:00:00
127,UHSR0801            ,Elosta,Hostal,HsRural,Alde Zaharra 44 B,LEKUNBERRI,LEKUNBERRI                                                                                          ,Pirineos,14,2006-06-09T00:00:00
128,UPE00488            ,Escaray,Pensión,P*,Nueva 24 1º C,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,10,1977-06-15T00:00:00
129,UHR00704            ,Eseverry,Hotel rural,2 Estrellas,Llana 35 ,JAURRIETA,JAURRIETA                                                                                           ,Pirineos,19,1999-07-28T00:00:00
130,UPE00053            ,Eskisaroi,Pensión,P**,Jaime Urrutia 40 ,ELIZONDO,BAZTAN                                                                                              ,Pirineos,10,1950-11-12T00:00:00
131,UPE00521            ,Eslava,Pensión,P*,Eslava 13 1º,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,17,1971-09-02T00:00:00
132,UPE00939            ,Estela,Pensión,P*,Sancho Ramirez  9 1ºB,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,8,2018-01-10T00:00:00
133,UPE00941            ,Estela II,Pensión,P*,Sancho Ramirez 5 1ºA ,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,8,2018-11-28T00:00:00
134,UHS00957            ,Estella Rooms,Hostal,HsG,San Nicolás 3 ,ESTELLA-LIZARRA,ESTELLA <> LIZARRA                                                                                  ,Zona Media,32,2020-12-08T00:00:00
135,UHSR0809            ,Etayo,Hostal,HsRural,Vitoria 37 bajo,MURIETA,MURIETA                                                                                             ,Zona Media,16,2007-05-14T00:00:00
136,UHSR0671            ,Etxeberri,Hostal,HsRural,San Gil 20 ,EUGI,ESTERIBAR                                                                                           ,Pirineos,12,1996-11-13T00:00:00
137,UPE00320            ,Etxeberria I,Pensión,P*,Txuputo 43 ,ARIZKUN,BAZTAN                                                                                              ,Pirineos,12,1970-12-21T00:00:00
138,UPE00564            ,Etxeberria II,Pensión,P*,"Larrain, s/n 0 ",ARIZKUN,BAZTAN                                                                                              ,Pirineos,16,1983-08-22T00:00:00
139,UH000003            ,Europa,Hotel,3 Estrellas,Espoz y Mina 11 ,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,38,1949-01-01T00:00:00
140,UHS00866            ,Europa,Hostal,HsG,Padre Ubillos 26 ,CASTEJÓN,CASTEJÓN                                                                                            ,La Ribera,20,2010-08-23T00:00:00
141,UH000797            ,Express By Holiday Inn,Hotel,3 Estrellas,"Area Comercial Galaria, Calle  111 ",MUTILVA,ARANGUREN                                                                                           ,Cuenca de Pamplona,154,2006-06-07T00:00:00
142,UHS00420            ,Ezequiel,Hostal,HsG,La Serna 14 ,LOS ARCOS,LOS ARCOS                                                                                           ,Zona Media,22,1973-06-03T00:00:00
143,UHS00936            ,Ezkaba,Hostal,HsG,Guipuzcoa 40 Oficina 1,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,12,2018-12-19T00:00:00
144,UHSR0690            ,Ezkaurre,Hostal,HsRural,Garagardoia 14 ,ISABA,ISABA <> IZABA                                                                                      ,Pirineos,24,1998-01-07T00:00:00
145,UHSR0670            ,Ezkurra,Hostal,HsRural,Carreter  6 Prekonea etxea,EZKURRA,EZKURRA                                                                                             ,Pirineos,10,1996-10-30T00:00:00
146,uhsr0682            ,Gau-Txori,Hostal,HsRural,Francia por Alduides km.21 0 ,SAIGOTS,ESTERIBAR                                                                                           ,Pirineos,14,1997-04-06T00:00:00
147,UPE00817            ,Gestión de Alojamientos,Pensión,P*,"Pío XII 34 2ª esc, 3º izda",PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,6,2007-12-26T00:00:00
148,UPE00818            ,Gestión de Alojamientos I,Pensión,P*,Pío XII 26 6º E,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,4,2007-12-26T00:00:00
149,UPE00819            ,Gestión de Alojamientos II,Pensión,P*,"Acella 3 esc izda, 1º A",PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,8,2007-12-26T00:00:00
